neighbourhood,room_type,price,minimum_nights,number_of_reviews,availability_365,reviews_per_month
Hammersmith,Entire home/apt,148.55,6,158,302,3.75
Kensington and Chelsea,Private room,393.56,29,46,323,2.56
Camden,Entire home/apt,197.64,19,242,291,2.52
Southwark,Private room,70.47,6,199,22,1.24
Hammersmith,Private room,96.58,18,110,103,4.11
Tower Hamlets,Private room,107.41,26,50,28,0.22
Wandsworth,Private room,88.73,23,256,301,0.54
Hammersmith,Private room,86.67,8,148,308,0.82
Tower Hamlets,Private room,102.75,26,290,62,1.07
Hammersmith,Private room,50.59,2,16,127,0.51
Hackney,Entire home/apt,81.55,25,179,197,0.07
Westminster,Entire home/apt,578.8,28,48,336,6.49
Westminster,Private room,161.92,22,62,188,0.41
Islington,Private room,77.82,27,210,317,0.46
Westminster,Entire home/apt,226.88,16,18,17,0.7
Hackney,Entire home/apt,41.4,18,221,165,2.9
Tower Hamlets,Entire home/apt,254.78,29,54,358,2.8
Hammersmith,Entire home/apt,108.25,23,54,287,2.52
Kensington and Chelsea,Entire home/apt,590.87,23,254,327,0.22
Southwark,Entire home/apt,89.03,2,290,95,8.97
Kensington and Chelsea,Private room,147.03,16,164,181,0.46
Islington,Private room,88.17,28,81,1,4.83
Southwark,Entire home/apt,87.75,10,194,118,0.62
Southwark,Entire home/apt,119.86,21,279,80,4.06
Kensington and Chelsea,Shared room,88.32,23,127,223,1.11
Hackney,Entire home/apt,240.71,25,200,245,2.07
Tower Hamlets,Entire home/apt,250.44,29,108,97,0.64
Lambeth,Private room,70.14,6,33,16,1.04
Lambeth,Private room,43.85,23,116,361,0.3
Wandsworth,Entire home/apt,95.9,13,172,189,1.46
Camden,Entire home/apt,275.21,11,192,306,0.19
Hackney,Entire home/apt,72.73,4,112,186,0.71
Hackney,Shared room,30.24,23,110,151,5.52
Southwark,Entire home/apt,190.35,19,226,243,0.11
Camden,Private room,40.75,2,72,200,0.87
Westminster,Entire home/apt,167.84,7,290,130,0.16
Hackney,Entire home/apt,385.65,2,11,274,0.76
Westminster,Entire home/apt,221.24,15,11,317,6.35
Hackney,Private room,89.75,21,80,214,2.58
Lambeth,Shared room,38.56,27,25,46,0.09
Islington,Shared room,52.94,26,85,249,0.75
Southwark,Private room,68.23,27,214,81,2.73
Tower Hamlets,Private room,62.37,18,102,272,2.1
Kensington and Chelsea,Entire home/apt,146.09,23,38,14,3.26
Tower Hamlets,Private room,110.59,25,209,160,4.34
Hammersmith,Private room,54.71,2,250,246,0.41
Camden,Shared room,21.84,3,38,301,0.86
Westminster,Entire home/apt,724.82,24,235,238,1.02
Wandsworth,Entire home/apt,125.86,20,64,176,0.23
Kensington and Chelsea,Entire home/apt,148.92,25,192,72,0.23
Wandsworth,Private room,49.87,12,186,292,3.09
Lambeth,Shared room,38.29,13,225,152,2.72
Tower Hamlets,Entire home/apt,234.79,20,62,309,1.87
Hammersmith,Entire home/apt,153.21,26,258,261,3.23
Lambeth,Shared room,34.5,17,8,98,1.82
Westminster,Entire home/apt,467.18,17,215,2,3.38
Lambeth,Private room,51.62,29,88,328,4.51
Southwark,Entire home/apt,136.83,28,28,136,0.09
Camden,Private room,102.39,9,39,24,1.6
Camden,Entire home/apt,90.53,5,175,89,1.52
Southwark,Entire home/apt,113.81,13,283,80,0.13
Hackney,Private room,118.9,27,236,288,4.22
Hackney,Private room,44.52,28,58,58,0.35
Wandsworth,Shared room,40.93,28,6,132,4.26
Hammersmith,Entire home/apt,137.69,23,159,362,0.52
Islington,Entire home/apt,212.28,29,11,294,0.43
Westminster,Private room,121.1,8,222,353,2.01
Kensington and Chelsea,Private room,94.55,7,73,232,6.59
Southwark,Entire home/apt,117.31,4,241,323,0.72
Westminster,Private room,93.96,22,119,209,4.1
Tower Hamlets,Private room,138.85,20,6,28,0.04
Lambeth,Entire home/apt,108.67,23,25,225,11.7
Westminster,Entire home/apt,330.99,9,38,270,3.17
Tower Hamlets,Private room,49.66,11,26,194,6.03
Kensington and Chelsea,Entire home/apt,354.62,21,83,261,2.86
Southwark,Shared room,52.95,15,161,162,0.06
Wandsworth,Private room,62.43,18,270,207,1.57
Wandsworth,Private room,89.99,14,49,198,1.97
Southwark,Private room,98.4,26,45,14,1.31
Islington,Entire home/apt,122.8,6,213,116,1.78
Kensington and Chelsea,Entire home/apt,605.43,13,208,71,1.25
Camden,Entire home/apt,81.72,13,216,288,6.1
Wandsworth,Entire home/apt,220.7,22,178,87,0.32
Wandsworth,Private room,67.42,28,147,160,1.64
Camden,Entire home/apt,148.97,2,224,288,4.28
Westminster,Private room,59.28,6,89,173,2.36
Camden,Entire home/apt,103.72,12,122,8,5.5
Islington,Private room,89.8,8,177,347,3.24
Islington,Private room,72.24,16,21,2,0.08
Hammersmith,Entire home/apt,261.1,12,24,300,1.91
Hackney,Shared room,61.49,4,172,220,3.12
Islington,Entire home/apt,89.41,24,58,130,0.17
Hackney,Private room,113.08,29,206,352,3.67
Westminster,Private room,149.85,20,292,3,2.66
Tower Hamlets,Entire home/apt,228.43,18,176,95,1.77
Hammersmith,Private room,130.48,2,261,294,0.65
Hackney,Entire home/apt,152.85,29,267,130,1.95
